C Code,D code
SUAPMFM---*****,11101260000
SUAPMFRX--*****,11101280000
SUAPMV----*****,11101290000
SUAPME----*****,11101320000
SUAPMH----*****,11102000000
SUAPMHA---*****,11102000100
SUAPMHS---*****,11102003200
SUAPMHU---*****,11102000700
SUAPMHUL--*****,11102000703
SUAPMHUM--*****,11102000702
SUAPMHUH--*****,11102000701
SUAPMHI---*****,11102002500
SUAPMHH---*****,11102003000
SUAPMHR---*****,11102001800
SUAPMHC---*****,11102000300
SUAPMHCL--*****,11102000303
SUAPMHCM--*****,11102000302
SUAPMHCH--*****,11102000301
SUAPMHT---*****,11102001900
SUAPMHO---*****,11102001400
SUAPMHM---*****,11102002700
SUAPMHD---*****,11102001100
SUAPMHK---*****,11102000600
SUAPMHJ---*****,11102001600
SUAPMFQ---*****,11103000000
SUAPMFQA--*****,11103000100
SUAPMFQB--*****,11103000200
SUAPMFQC--*****,11103000300
SUAPMFQD--*****,11103001100
SUAPMFQRW-*****,11103001200
SUAPMFQF--*****,11103000400
SUAPMFQH--*****,11103003000
SUAPMFQJ--*****,11103001600
SUAPMFQRZ-*****,11103002400
SUAPMFQK--*****,11103000600
SUAPMFQL--*****,11103000800
SUAPMFQM--*****,11103002700
SUAPMFQI--*****,11103002500
SUAPMFQN--*****,11103003200
SUAPMFQP--*****,11103001700
SUAPMFQR--*****,11103001800
SUAPMFQRX-*****,11103002000
SUAPMFQS--*****,11103002200
SUAPMFQT--*****,11103001900
SUAPMFQU--*****,11103000700
SUAPMFQY--*****,11103002300
SUAPMFQO--*****,11103001400
SUAPMHQ---*****,11104000000
SUAPML----*****,11105000000
SUAPC-----*****,11200000000
SUAPCF----*****,11201000000
SUAPCH----*****,11202000000
SUAPCL----*****,11204000000
SUAPW-----*****,11300000000
SUAPWB----*****,11301000000
SUAPWD----*****,11302000000
SUAPWM----*****,21100000000
SUAPWM----*****,21100000005
SUAPWMS---*****,21100000205
SUAPWMSB--*****,21100000500
SUAPWMSS--*****,21100000202
SUAPWMSA--*****,21100000201
SUAPWMSU--*****,21100000203
SUAPWMA---*****,21100000105
SUAPWMAS--*****,21100000102
SUAPWMAA--*****,21100000101
SUAPWMAP--*****,21100000104
SUAPWMU---*****,21100000302
SUAPWMCM--*****,21100000706
SUAPWMB---*****,21100000606
SUPP------*****,51100000000
SUPPS-----*****,51107000000
SUPPT-----*****,51116000000
SUPPL-----*****,51119000000
SUFPGC----*****,101102000000
SUFPGP----*****,101106000000
SUGPUUS---*****,101110000000
SUGPUUSA--*****,101110000200
SUGPUUSC--*****,101110001100
SUGPUUSO--*****,101110004900
SUGPUUSF--*****,101110002700
SUGPUUSM--*****,101110003600
SUGPUUSS--*****,101110007700
SUGPUUSR--*****,101110010000
SUGPUUSRW-*****,101110020000
SUGPUUSRT-*****,101110030000
SUGPUUSRS-*****,101110040000
SUGPUUP---*****,101203002900
SUGPUCAA--*****,101204000000
SUGPUCAAL-*****,101204000019
SUGPUCAAM-*****,101204000001
SUGPUCAAS-*****,101204000059
SUGPUCAAU-*****,101204000027
SUGPUCAAC-*****,101204000002
SUGPUCAAA-*****,101204010000
SUGPUCAAAS*****,101204010059
SUGPUCAAAW*****,101204010051
SUGPUCAAO-*****,101204020000
SUGPUCAAOS*****,101204020059
SUGPUCAT--*****,101205000000
SUGPUCATL-*****,101205000019
SUGPUCATM-*****,101205000024
SUGPUCATH-*****,101205000015
SUGPUCATA-*****,101205000001
SUGPUCATR-*****,101205000038
SUGPUCRVA-*****,101205010000
SUGPUCRRL-*****,101205010019
SUGPUCATW-*****,101205020000
SUGPUCAWW-*****,101505020051
SUGPUCATWR*****,101205020038
SUGPUCV---*****,101206000000
SUGPUCVUR-*****,101206000059
SUGPUCVRA-*****,101206000300
SUGPUCVRUC*****,101206001000
SUGPUCVRM-*****,101206003300
SUGPUCVS--*****,101206005300
SUGPUCSA--*****,101206005400
SUFPA-----*****,101206006300
SUFPAHA---*****,101206006354
SUFPAHU---*****,101206006356
SUFPAHH---*****,101206006357
SUFPAHUL--*****,101206006319
SUFPAHUM--*****,101206006324
SUFPAHUH--*****,101206006315
SUGPUCVRU-*****,101206006900
SUGPUCVRUL*****,101206006919
SUGPUCVRUM*****,101206006924
SUGPUCVRUH*****,101206006915
SUGPUCVRW-*****,101206007400
SUGPUCVRUE*****,101206007500
SUGPUCRVO-*****,101206010000
SUGPUCVC--*****,101207000000
SUGPUCVF--*****,101208000000
SUGPUCVUF-*****,101208000059
SUGPUCVFA-*****,101208000300
SUFPAF----*****,101208006300
SUFPAFA---*****,101208006354
SUFPAFK---*****,101208006355
SUFPAFU---*****,101208006356
SUFPAFUL--*****,101208006319
SUFPAFUM--*****,101208006324
SUFPAFUH--*****,101208006315
SUFPAV----*****,101208006349
SUGPUCVFU-*****,101208006900
SUGPUCVV--*****,101208000049
SUGPUCVFR-*****,101208010000
SUGPUC----*****,101209000000
SUGPUCI---*****,101211000000
SUFPGR----*****,101211005701
SUGPUCIL--*****,101211000019
SUGPUCIO--*****,101211000027
SUGPUCIA--*****,101211000001
SUGPUCIS--*****,101211000059
SUGPUCIC--*****,101211000002
SUGPUCIN--*****,101211004600
SUGPUCIZ--*****,101211020000
SUGPUCIM--*****,101211040000
SUGPUCII--*****,101211050000
SUGPUCRV--*****,101213000000
SUGPUCRC--*****,101213000002
SUGPUCRS--*****,101213000059
SUGPUCRA--*****,101213000001
SUGPUCRO--*****,101213000027
SUGPUCRL--*****,101213000019
SUGPUCRX--*****,101213000022
SUGPUCRH--*****,101213000031
SUGPUCRR--*****,101213020000
SUGPUCRRD-*****,101213021900
SUGPUCRRF-*****,101213022600
SUGPUCRVM-*****,101213030000
SUFPNS----*****,101214000000
SUGPUCL---*****,101216000000
SUFPGS----*****,101217000000
SUFP------*****,101218000000
SUFPB-----*****,101218000045
SUFPGPA---*****,101218010000
SUFPG-----*****,101218020000
SUFPNB----*****,101218030000
SUFPNN----*****,101218040000
SUFPNU----*****,101218050000
SUGPUCVU--*****,101219000000
SUFPGR----*****,101220000000
SUGPUCD---*****,101301000000
SUGPUCDS--*****,101301000043
SUGPUCDT--*****,101301006700
SUGPUCDO--*****,101301009400
SUGPUCDG--*****,101301010000
SUGPUCDM--*****,101301020000
SUGPUCDH--*****,101301022800
SUGPUCDML-*****,101301020019
SUGPUCDMM-*****,101301020024
SUGPUCDMH-*****,101301020015
SUGPUCDC---****,101301030000
SUGPUCFTA-*****,101302000000
SUGPUCF---*****,101303000000
SUGPUCFHA-*****,101303000001
SUGPUCFHS-*****,101303000059
SUGPUCFHC-*****,101303000002
SUGPUCFHO-*****,101303000027
SUGPUCFHL-*****,101303000019
SUGPUCFHM-*****,101303000024
SUGPUCFHH-*****,101303000015
SUGPUCFRM-*****,101303004100
SUGPUCFRMR*****,101303004151
SUGPUCFRMT*****,101303004147
SUGPUCFTR-*****,101303005000
SUGPUCFRS-*****,101303005900
SUGPUCFRSR*****,101303005951
SUGPUCFRST*****,101303005947
SUGPUCFTS-*****,101303006200
SUGPUCFT--*****,101303006700
SUGPUCFTF-*****,101303006730
SUGPUCFHE-*****,101303010000
SUGPUCFRSS*****,101303015900
SUGPUCFRMS*****,101303014100
SUGPUCFTCM*****,101303020000
SUGPUCFTC-*****,101304000000
SUGPUCFO--*****,101306000000
SUGPUCFOS-*****,101306000059
SUGPUCFOA-*****,101306000001
SUGPUCFOL-*****,101306000019
SUGPUCFOO-*****,101306000027
SUGPUCM---*****,101307000000
SUGPUCMS--*****,101307000044
SUGPUCMT--*****,101307000046
SUGPUCFM--*****,101308000000
SUGPUCFMTC*****,101308000002
SUGPUCFMS-*****,101308010000
SUGPUCFMW-*****,101308020000
SUGPUCFMT-*****,101308030000
SUGPUCFMTS*****,101308030059
SUGPUCFMTA*****,101308030001
SUGPUCFMTO*****,101308030027
SUGPUCFS--*****,101309000000
SUGPUCFSS-*****,101309000059
SUGPUCFSA-*****,101309000001
SUGPUCFSL-*****,101309000019
SUGPUCFSO-*****,101309000027
SUGPUUA---*****,101401000000
SUGPUUAC--*****,101401000700
SUGPUUACS-*****,101401006000
SUGPUUAN--*****,101401004800
SUGPUUAB--*****,101401000400
SUGPUUAD--*****,101401001500
SUGPUUACC-*****,101401006009
SUGPUUACSA*****,101401016000
SUGPUUACCK*****,101401016009
SUGPUUACSM*****,101401026000
SUGPUUACCM*****,101401026009
SUGPUUACR-*****,101401030700
SUGPUUACRW*****,101401040051
SUGPUUABR-*****,101401050400
SUGPUU----*****,101402000000
SUGPUULD--*****,101403000000
SUGP------*****,100000000000
SUGPU-----*****,100000000000
SUGPUCE---*****,101407000000
SUGPUCECS-*****,101407000059
SUGPUCECA-*****,101407000001
SUGPUCECC-*****,101407000002
SUGPUCEC--*****,101407000900
SUGPUCECL-*****,101407000919
SUGPUCECM-*****,101407000924
SUGPUCECH-*****,101407000915
SUGPUCECO-*****,101407000927
SUGPUCEN--*****,101407001200
SUGPUCENN-*****,101407004600
SUGPUCECT-*****,101407010000
SUGPUCECW-*****,101407020000
SUGPUCECR-*****,101407030000
SUGPUUE---*****,101408000000
EUOPCA----*****,101410000000
SUGPUULM--*****,101412000000
SUGPUCS---*****,101417000000
SUGPUCSW--*****,101417000040
SUGPUCSR--*****,101417000036
SUGPUCSGA-*****,101417010000
SUGPUCSM--*****,101417010051
SUGPUCSGM-*****,101417020000
SUGPUCVS--*****,101418000000
SUGPUULF--*****,101419000000
SUGPUULS--*****,101420000000
SUGPUUMC-------,101502000000
SUGPUUSX--*****,101504000000
SUGPUUMSE-*****,101505000000
SUGPUUMSET*****,101505009400
SUGPUUMSEC*****,101505009600
SUGPUUMSED*****,101505020000
SUGPUUMSEI*****,101505030000
SUGPUUMSEJ*****,101505040000
SUGPUUMQ--*****,101507000000
SUGPUUMJ--*****,101509000000
SUGPUUM---*****,101510000000
SUGPUUMA--*****,101510000059
SUGPUUMO--*****,101510004900
SUGPUUMS--*****,101510005700
SUGPUUMRG-*****,101510005000
SUGPUUMRS-*****,101510005500
SUGPUUMRX-*****,101510002800
SUGPUUMMO-*****,101510003200
SUGPUUMT--*****,101510006600
SUGPUUMSET*****,101510009400
SUGPUUMSEC*****,101510009600
SUGPUSA---*****,101601000000
SUGPUSAT--*****,101601009400
SUGPUSAC--*****,101601009600
SUGPUSTA--*****,101603000000
SUGPUSTAT-*****,101603009400
SUGPUSTAC-*****,101603009600
SUGPUS----*****,101606000000
SUGPUSAF--*****,101607000000
SUGPUSAFT-*****,101607009400
SUGPUSAFC-*****,101607009600
SUGPUSAJ--*****,101608000000
SUGPUSAJT-*****,101608009400
SUGPUSAJC-*****,101608009600
SUGPUSAL--*****,101609000000
SUGPUSALT-*****,101609009400
SUGPUSALC-*****,101609009600
SUGPUSSL--*****,101610000000
SUGPUSSLT-*****,101610009400
SUGPUSSLC-*****,101610009600
SUGPUSX---*****,101611000000
SUGPUSXH--*****,101611000015
SUGPUSXE--*****,101611002200
SUGPUSXOM-*****,101611003400
SUGPUSXT--*****,101611009400
SUGPUSXC--*****,101611009600
SUGPUSXHT-*****,101611009415
SUGPUSXHC-*****,101611009615
SUGPUSM---*****,101613000000
SUGPUSMD--*****,101613000011
SUGPUSMP--*****,101613000034
SUGPUSMV--*****,101613000050
SUGPUSMT--*****,101613009400
SUGPUSMC--*****,101613009600
SUGPUSMDT-*****,101613009411
SUGPUSMDC-*****,101613009611
SUGPUSMPT-*****,101613009434
SUGPUSMPC-*****,101613009634
SUGPUSMVT-*****,101613009450
SUGPUSMVC-*****,101613009650
SUGPUSMM--*****,101614000000
SUGPUSMMT-*****,101614009400
SUGPUSMMC-*****,101614009600
SUGPUSAW--*****,101615000000
SUGPUSAWT-*****,101615009400
SUGPUSAWC-*****,101615009600
SUGPUSAM--*****,101616000000
SUGPUSAMT-*****,101616009400
SUGPUSAMC-*****,101616009600
SUGPUSXO--*****,101623000000
SUGPUSXOT-*****,101623009400
SUGPUSXOC-*****,101623009600
SUGPUSAS--*****,101624000000
SUGPUSAST-*****,101624009400
SUGPUSASC-*****,101624009600
SUGPUSS3--*****,101625000000
SUGPUSAP--*****,101628000000
SUGPUSAPT-*****,101628009400
SUGPUSAPC-*****,101628009600
SUGPUSAQ--*****,101629000000
SUGPUSAQT-*****,101629009400
SUGPUSAQC-*****,101629009600
SUGPUSTR--*****,101630000000
